timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length
2025-10-18T15:35:01.764195,192.168.0.118,51.11.192.50,65300,443,TCP,167
2025-10-18T15:35:01.773746,192.168.0.118,51.11.192.50,65300,443,TCP,93
2025-10-18T15:35:01.775051,192.168.0.118,51.11.192.50,65300,443,TCP,1494
2025-10-18T15:35:01.776019,192.168.0.118,51.11.192.50,65300,443,TCP,1494
2025-10-18T15:35:01.777033,192.168.0.118,51.11.192.50,65300,443,TCP,472
2025-10-18T15:35:01.871638,51.11.192.50,192.168.0.118,443,65300,TCP,54
2025-10-18T15:35:01.873186,51.11.192.50,192.168.0.118,443,65300,TCP,93
2025-10-18T15:35:01.874093,51.11.192.50,192.168.0.118,443,65300,TCP,54
2025-10-18T15:35:01.919334,192.168.0.118,51.11.192.50,65300,443,TCP,54
2025-10-18T15:35:02.025815,51.11.192.50,192.168.0.118,443,65300,TCP,153
2025-10-18T15:35:02.027654,192.168.0.118,51.11.192.50,65300,443,TCP,89
2025-10-18T15:35:02.184350,51.11.192.50,192.168.0.118,443,65300,TCP,54
2025-10-18T15:35:02.591208,192.168.0.118,192.168.0.1,61817,53,UDP,92
2025-10-18T15:35:02.601645,192.168.0.1,192.168.0.118,53,61817,UDP,212
2025-10-18T15:35:02.602957,192.168.0.118,52.168.117.168,59269,443,TCP,66
2025-10-18T15:35:02.776985,52.168.117.168,192.168.0.118,443,59269,TCP,66
2025-10-18T15:35:02.778620,192.168.0.118,52.168.117.168,59269,443,TCP,54
2025-10-18T15:35:02.779514,192.168.0.118,52.168.117.168,59269,443,TCP,571
2025-10-18T15:35:02.951323,52.168.117.168,192.168.0.118,443,59269,TCP,153
2025-10-18T15:35:02.952893,52.168.117.168,192.168.0.118,443,59269,TCP,54
2025-10-18T15:35:02.954012,192.168.0.118,52.168.117.168,59269,443,TCP,491
2025-10-18T15:35:03.019649,104.18.39.21,192.168.0.118,443,53765,TCP,78
2025-10-18T15:35:03.021354,192.168.0.118,104.18.39.21,53765,443,TCP,82
2025-10-18T15:35:03.029583,104.18.39.21,192.168.0.118,443,53765,TCP,54
2025-10-18T15:35:03.130949,52.168.117.168,192.168.0.118,443,59269,TCP,1506
2025-10-18T15:35:03.132611,52.168.117.168,192.168.0.118,443,59269,TCP,1506
2025-10-18T15:35:03.133975,52.168.117.168,192.168.0.118,443,59269,TCP,1506
2025-10-18T15:35:03.134973,52.168.117.168,192.168.0.118,443,59269,TCP,188
2025-10-18T15:35:03.135868,192.168.0.118,52.168.117.168,59269,443,TCP,54
2025-10-18T15:35:03.136764,192.168.0.118,52.168.117.168,59269,443,TCP,1494
2025-10-18T15:35:03.137668,192.168.0.118,52.168.117.168,59269,443,TCP,701
2025-10-18T15:35:03.307506,52.168.117.168,192.168.0.118,443,59269,TCP,54
2025-10-18T15:35:03.309111,52.168.117.168,192.168.0.118,443,59269,TCP,157
2025-10-18T15:35:03.310323,52.168.117.168,192.168.0.118,443,59269,TCP,519
2025-10-18T15:35:03.311158,192.168.0.118,52.168.117.168,59269,443,TCP,54
2025-10-18T15:35:03.311997,192.168.0.118,52.168.117.168,59269,443,TCP,78
2025-10-18T15:35:03.312825,192.168.0.118,52.168.117.168,59269,443,TCP,54
2025-10-18T15:35:03.508110,52.168.117.168,192.168.0.118,443,59269,TCP,54
2025-10-18T15:35:03.733083,20.191.166.67,192.168.0.118,443,57554,TCP,81
2025-10-18T15:35:03.784059,192.168.0.118,20.191.166.67,57554,443,TCP,54
2025-10-18T15:35:04.438431,192.168.0.118,20.191.166.67,57554,443,TCP,85
2025-10-18T15:35:04.600316,20.191.166.67,192.168.0.118,443,57554,TCP,54
2025-10-18T15:35:05.357608,192.168.0.1,239.255.255.250,55099,1900,UDP,436
2025-10-18T15:35:05.359905,192.168.0.1,239.255.255.250,55099,1900,UDP,508
2025-10-18T15:35:05.361437,192.168.0.1,239.255.255.250,55099,1900,UDP,445
2025-10-18T15:35:05.362454,192.168.0.1,239.255.255.250,55099,1900,UDP,504
2025-10-18T15:35:05.363434,192.168.0.1,239.255.255.250,55099,1900,UDP,445
2025-10-18T15:35:05.364567,192.168.0.1,239.255.255.250,55099,1900,UDP,484
2025-10-18T15:35:05.365891,192.168.0.1,239.255.255.250,55099,1900,UDP,445
2025-10-18T15:35:05.367166,192.168.0.1,239.255.255.250,55099,1900,UDP,498
2025-10-18T15:35:05.368091,192.168.0.1,239.255.255.250,55099,1900,UDP,500
