ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:02.954012', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 491, 'protocol_type': 1, 'src_bytes': 491, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.019649', 'src_ip': '104.18.39.21', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 53765, 'protocol': 'TCP', 'packet_length': 78, 'protocol_type': 1, 'src_bytes': 78, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.021354', 'src_ip': '192.168.0.118', 'dst_ip': '104.18.39.21', 'src_port': 53765, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 82, 'protocol_type': 1, 'src_bytes': 82, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.029583', 'src_ip': '104.18.39.21', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 53765, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.130949', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 1506, 'protocol_type': 1, 'src_bytes': 1506, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.132611', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 1506, 'protocol_type': 1, 'src_bytes': 1506, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.133975', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 1506, 'protocol_type': 1, 'src_bytes': 1506, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.134973', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 188, 'protocol_type': 1, 'src_bytes': 188, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.135868', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.136764', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 1494, 'protocol_type': 1, 'src_bytes': 1494, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.137668', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 701, 'protocol_type': 1, 'src_bytes': 701, 'dst_bytes': 0} | Predicted label: 11
